Company,Role_Title,City,Seniority,Experience_Required,Source_URL,Posting_Date,Evidence
Storeys Real Estate,Portfolio Manager,Dubai,Manager (junior),1-3 years,https://www.naukrigulf.com/portfolio-manager-jobs-in-dubai-uae-in-storeys-real-estate-1-to-3-years-n-cd-20010126-jid-200726500319,Unknown,"Naukrigulf requisition; URL slug encodes employer Storeys Real Estate, Dubai and a 1-3 year band - clearly junior to the candidate."
OSP Real Estate LLC,Real Estate Manager,Dubai,Manager,2-4 years,https://www.naukrigulf.com/real-estate-manager-jobs-in-dubai-uae-in-osp-real-estate-l-l-c-2-to-4-years-n-cd-360955-jid-120826000751,Unknown,"Naukrigulf requisition; URL slug encodes title, employer OSP Real Estate LLC, Dubai and a 2-4 year band - junior to the candidate."
"Place Vendome Mall, Doha (via Bayt)",Senior Leasing Manager,Doha,Senior Manager,Not stated,https://www.bayt.com/en/qatar/jobs/real-estate-manager-jobs/,Unknown,"Bayt Qatar listing surfaced as 'Senior Leasing Manager - Place Vendome, Doha' with JD text: drive leasing operations at Place Vendome, maximise occupancy rates and enhance revenue through strategic tenant acquisition and retention. Named site and title but the search returned only the Bayt category page URL, not the requisition permalink. Retail, not residential."
Place Vendome Qatar (via Bayt),Retail Property Manager,Doha,Manager,Not stated,https://www.bayt.com/en/qatar/jobs/property-management-jobs/,Unknown,"Bayt Qatar listing surfaced as 'Retail Property Manager - Place Vendome Qatar'; JD in result: oversee retail operations, lead a multidisciplinary team, liaise between mall management and tenants. Category-page URL only, no requisition permalink."
Mubadala Investment Company,"Vice President, Valuations",Abu Dhabi,VP,Not stated,https://www.linkedin.com/jobs/view/4035907795/,Unknown,"LinkedIn job page titled 'Mubadala hiring VP, Valuations in Abu Dhabi'. CAUTION: the LinkedIn job id is in a low/old range relative to the 44xxxxxxxx ids seen on confirmed-current postings, so this may be an expired requisition - treat as unconfirmed."
Dubai Holding Asset Management (Dubai Asset Management),"Associate Director - Business Development, req 1279",Dubai,Associate Director,Not stated,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Associate-Director-Business-Development/1279,Unknown,"Dubai Holding Avature requisition 1279; JD quoted in result: collaborate with Marketing, Revenue and Leasing teams to drive promotions, campaigns and occupancy initiatives; monitor portfolio-wide KPIs for occupancy and collections; analyse trends in occupancy, revenue and collections - the single closest functional match to the candidate's revenue/occupancy remit."
Dubai Holding Asset Management (Dubai Asset Management),"Director - Property Management, Retail Destinations, req 1654",Dubai,Director,Not stated,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Director-Property-Management-Skylight-Mall/1654,Unknown,"Avature requisition 1654; JD in result: strategic and operational management of the assigned retail portfolio, driving revenue growth and optimising asset value. Retail asset class rather than residential."
Dubai Holding,"Senior Manager - Strategic Planning and Analysis, req 1627",Dubai,Senior Manager,Not stated,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Senior-Manager-Strategic-Planning-and-Analysis/1627,Unknown,"Avature requisition 1627 on Dubai Holding's own careers marketplace, titled 'Senior Manager - Strategic Planning and Analysis' - matches the candidate's fund/capital planning and modelling side."
Dubai Holding Asset Management (Dubai Asset Management),"Senior Executive - Property Management, req 886",Dubai,Senior Executive (below Manager),Not stated,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Senior-Executive-Property-Management/886,Unknown,"Avature requisition 886; JD in result: join Dubai Holding Asset Management, identify and propose additional revenue generation opportunities across a portfolio of 20 retail destinations and 15 residential communities. Below the candidate's band."
Dubai Holding Real Estate,"Manager - Infrastructure Planning, req 1469",Dubai,Manager,Not stated,https://dhcareers.avature.net/en_US/newcareersmarketplace/JobDetail/Manager-Infrastructure-Planning/1469,Unknown,"Avature requisition 1469 titled 'Manager - Infrastructure Planning (Dubai Holding Real Estate)' - live req at the target employer but a technical/planning function, weak fit."
"Manpower Middle East (recruiter, client undisclosed)",Fund Manager,Dubai,Manager,Not stated,https://www.linkedin.com/jobs/view/4444521648/,Unknown,"LinkedIn job page titled 'Manpower Middle East hiring Fund Manager in Dubai'; relevant to the candidate's fund/JV capital planning and distribution modelling, but the end employer is not disclosed in the result."
Undisclosed Abu Dhabi institution (surfaced via LinkedIn),"Investment Professional, Global Infrastructure",Abu Dhabi,Not stated,Not stated,https://www.linkedin.com/jobs/view/4436010046/,Unknown,"LinkedIn job result titled 'Investment Professional, Global Infrastructure, Abu Dhabi'; the employer name did not appear in the search result, so this is a live-looking posting at an UNNAMED employer - weakest row in the file, recorded only as a lead."
