Listing_ID,Role_Title,Company,Company_Type,Country,City,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
I03-011,Manager - Investment Operations,Invesco (Hyderabad),Asset Manager,India,Hyderabad,HITEC City,Manager,5-9 yrs (inferred),Fund Finance,Investment operations; fund accounting oversight; reconciliation,18-30,Market estimate,Company Careers Page,https://careers.invesco.com/,Target employer - not verified,Unknown,2026-09-21,6,Investment operations at a global manager; solid but closer to process than to strategy.,Fund operations oversight.,"Hyderabad centre is substantial. Scored honestly - this is an operations seat, not a strategy one.",I03,Not benchmarked (non-Mumbai market),,
I03-012,VP - Fund Finance,Goldman Sachs (Hyderabad),Investment Bank,India,Hyderabad,HITEC City,VP,8-12 yrs (inferred),Fund Finance,Fund finance; capital planning; investor reporting; controls,40-70,Market estimate,Company Careers Page,https://www.goldmansachs.com/careers/,Target employer - not verified,Unknown,2026-09-21,7,Goldman's Hyderabad centre is large and bank-tier pay is far above the administrator tier; fund finance there covers real capital mechanics.,Fund capital planning and distribution mechanics.,The best-paying row in this lane if attainable. Highly competitive and the India centre skews technology-heavy - confirm the function before investing time.,I03,Not benchmarked (non-Mumbai market),,
I03-013,Manager - Fund Accounting,Northern Trust (Pune),Global Capability Centre,India,Pune,Kharadi,Manager,5-9 yrs (inferred),Fund Finance,Fund accounting; NAV oversight; capital activity; team management,18-30,Market estimate,Company Careers Page,https://ntrs.wd1.myworkdayjobs.com/northerntrust,Search-surfaced,Unknown,2026-09-21,8,"Northern Trust's Pune office runs asset servicing operations at scale - one of the deepest pools of fund-mechanics work in India, and explicitly excluded from the earlier Mumbai-only search.",Fund accounting oversight and capital activity at institutional scale.,"Pune office established 2016, now over 3,000 staff. Around 248 Northern Trust fund accounting roles were visible in Pune. This employer was dropped from the original fund-finance tab purely on geography - it is recovered here.",I03,Not benchmarked (non-Mumbai market),,
I03-014,Associate Consultant - Hedge Fund Accounting,Northern Trust (Pune),Global Capability Centre,India,Pune,Chakan,Senior Analyst,4-6 yrs (posted),Fund Finance,Hedge fund accounting; NAV; financial services,10-18,Market estimate,Indeed,"https://in.indeed.com/q-northern-trust,fund-accounting-l-pune,-maharashtra-jobs.html",Verified live posting,Unknown,2026-09-21,6,"A live posting at the right employer but hedge fund accounting rather than real assets, and a grade below his band.",Fund accounting fundamentals.,"Verified open but note the Chakan location is well outside central Pune, and hedge funds are further from his experience than PE or real estate.",I03,Not benchmarked (non-Mumbai market),,
I03-015,Manager - Financial Reporting,AllianceBernstein (Pune),Asset Manager,India,Pune,Pune (unspecified),Manager,5-9 yrs,Fund Finance,Financial reporting; fund reporting; investment operations,18-32,Market estimate,Indeed,"https://in.indeed.com/q-alliancebernstein-l-pune,-maharashtra-jobs.html",Search-surfaced,Unknown,2026-09-21,7,AllianceBernstein is building out a new Pune office - early-stage centres usually mean broader scope and faster progression than mature ones.,Fund financial reporting and investment operations.,"AB is standing up Pune as one of 57 global offices, with around 23 roles visible. A new centre is a genuine opportunity to shape a function rather than inherit one. Also excluded from the original Mumbai-only search.",I03,Not benchmarked (non-Mumbai market),,
I03-016,Manager - Investment Operations,AllianceBernstein (Pune),Asset Manager,India,Pune,Pune (unspecified),Manager,5-9 yrs (inferred),Fund Finance,Investment operations; data stewardship; process improvement,18-30,Market estimate,LinkedIn,https://www.linkedin.com/company/abglobal/jobs,Search-surfaced,Unknown,2026-09-21,6,"Operations rather than capital mechanics, at a good employer in a new centre.",Investment operations and process design.,Secondary to the financial reporting row at the same employer.,I03,Not benchmarked (non-Mumbai market),,
I03-017,Senior Associate - Hedge Fund Accounting,Apex Group (Pune),Global Capability Centre,India,Pune,Kharadi,Senior Analyst,4+ yrs (posted),Fund Finance,Hedge fund administration; NAV calculation,10-18,Market estimate,LinkedIn,https://in.linkedin.com/jobs/citco-fund-services-jobs,Verified live posting,Unknown,2026-09-21,5,"Real and open, but hedge fund NAV production is the furthest corner of fund administration from his real-asset background.",Fund administration fundamentals.,"Honest read: this is NAV production, not capital strategy. Included to map the market accurately rather than as a target.",I03,Not benchmarked (non-Mumbai market),,
I03-018,AVP - Fund Services,State Street (Pune),Global Capability Centre,India,Pune,Hinjewadi,AVP,6-10 yrs (inferred),Fund Finance,Fund accounting; investor services; capital activity,20-34,Market estimate,Company Careers Page,https://careers.statestreet.com/,Target employer - not verified,Unknown,2026-09-21,7,State Street runs large fund servicing operations from Pune with genuine private-markets work.,Fund servicing and capital activity oversight.,"Large, stable platform. Confirm whether the specific seat touches private markets or only traditional funds.",I03,Not benchmarked (non-Mumbai market),,
I03-019,Manager - Alternative Investments Operations,BNY (Pune),Global Capability Centre,India,Pune,Hinjewadi,Manager,5-9 yrs (inferred),Fund Finance,Alternatives operations; capital calls; investor reporting,18-30,Market estimate,Company Careers Page,https://jobs.bny.com/,Target employer - not verified,Unknown,2026-09-21,7,"BNY's alternatives servicing covers the capital mechanics he knows, from a large Pune base.",Capital calls and distributions.,Solid institutional platform. No specific opening seen.,I03,Not benchmarked (non-Mumbai market),,
I03-020,Manager - Fund Operations,Amundi (Pune),Asset Manager,India,Pune,Pune (unspecified),Manager,5-9 yrs (inferred),Fund Finance,Fund operations; NAV oversight; reporting,16-28,Market estimate,LinkedIn,https://in.linkedin.com/company/amundi,Target employer - not verified,Unknown,2026-09-21,6,European asset manager with Indian operations; solid but traditional-funds weighted.,Fund operations.,Less private-markets exposure than the administrators. Middling fit.,I03,Not benchmarked (non-Mumbai market),,
I03-021,AVP - Fund Finance,Deutsche Bank (Pune),Bank,India,Pune,Magarpatta,AVP,6-10 yrs (inferred),Fund Finance,Fund finance; capital activity; controls; reporting,22-38,Market estimate,Company Careers Page,https://careers.db.com/,Target employer - not verified,Unknown,2026-09-21,7,Bank-tier pay and real fund work from a large Pune centre.,Fund capital mechanics at an institutional bank.,Deutsche has significant Pune operations. Bank tier pays above independent administrators.,I03,Not benchmarked (non-Mumbai market),,
I03-022,AVP - Investment Operations,UBS (Pune),Bank,India,Pune,Hinjewadi,AVP,6-10 yrs (inferred),Fund Finance,Investment operations; fund servicing; controls,22-36,Market estimate,Company Careers Page,https://jobs.ubs.com/,Target employer - not verified,Unknown,2026-09-21,6,"Large Pune centre with real investment operations work, though weighted to process rather than strategy.",Investment operations oversight.,Stable and well paid for the tier. Scope is operational.,I03,Not benchmarked (non-Mumbai market),,
I03-023,Manager - Fund Reporting,Barclays (Pune),Bank,India,Pune,Hinjewadi,Manager,5-9 yrs (inferred),Fund Finance,Fund reporting; controls; investor servicing,20-34,Market estimate,Company Careers Page,https://search.jobs.barclays/,Target employer - not verified,Unknown,2026-09-21,6,Barclays' Pune centre does genuine finance work; less private-markets specific than the administrators.,Fund reporting and controls.,Bank tier. Confirm private-markets exposure before applying.,I03,Not benchmarked (non-Mumbai market),,
I03-024,Manager - Private Markets Reporting,Northern Trust (Pune),Global Capability Centre,India,Pune,Kharadi,Manager,5-9 yrs (inferred),Fund Finance,Private markets reporting; capital activity; investor statements,18-30,Market estimate,Naukri,https://www.naukri.com/northern-trust-jobs-careers-600263,Search-surfaced,Unknown,2026-09-21,8,"Private-markets reporting is where capital calls, distributions and partner capital statements actually live - his scarcest skill, in India's deepest market for it.","Partner capital activity, capital calls and distributions.",Around 145 Northern Trust roles were visible on Naukri. Worth a targeted approach to the private-markets team specifically rather than a general application.,I03,Not benchmarked (non-Mumbai market),,
I03-025,Manager - Asset Management & Leasing,Panchshil Realty,Real Estate Developer,India,Pune,Kharadi,Manager,5-9 yrs (inferred),RE Asset Management,Office leasing; asset management; tenant strategy; occupancy,18-32,Market estimate,Company Careers Page,https://www.panchshil.com/careers,Search-surfaced,Unknown,2026-09-21,8,Panchshil holds and leases a very large office portfolio - over 22.77 msf developed with 32.1 msf under development - so leasing and occupancy strategy genuinely drive its economics.,"Leasing strategy, occupancy and rent optimisation.","The strongest real estate employer in Pune for this profile. Its portfolio spans Pune, Mumbai and Hyderabad, so the role may carry multi-city scope.",I03,Not benchmarked (non-Mumbai market),,
I03-026,Manager - Commercial Leasing,Panchshil Realty,Real Estate Developer,India,Pune,Hinjewadi,Manager,4-8 yrs (inferred),Leasing Strategy,Leasing; tenant mix; commercial negotiation,16-28,Market estimate,Company Careers Page,https://www.panchshil.com/office-parks/page/1,Target employer - not verified,Unknown,2026-09-21,7,Pure leasing execution across a large office park portfolio; narrower than the asset management row.,Leasing and tenant-mix strategy.,Secondary to the asset management seat at the same employer.,I03,Not benchmarked (non-Mumbai market),,
I03-027,Manager - Business Planning,Kolte-Patil Developers,Real Estate Developer,India,Pune,Pune (unspecified),Manager,5-9 yrs (inferred),FP&A,Business planning; pricing; absorption analytics; feasibility,16-28,Market estimate,Company Careers Page,https://www.koltepatil.com/careers,Search-surfaced,Unknown,2026-09-21,7,Listed Pune-headquartered residential developer where pricing and absorption strategy drive the P&L - and his retail disposition background maps directly onto sell-down.,"Retail disposition strategy: pricing, channel and timing of unit sales.","Residential sell-down rather than hold-and-lease, so lead with the disposition half of his experience rather than leasing.",I03,Not benchmarked (non-Mumbai market),,
I03-028,Manager - Asset Management,Gera Developments,Real Estate Developer,India,Pune,Pune (unspecified),Manager,5-9 yrs (inferred),RE Asset Management,Asset management; leasing; portfolio performance,15-26,Market estimate,Naukri,https://www.naukri.com/gera-developments-jobs,Target employer - not verified,Unknown,2026-09-21,6,"Established Pune developer with commercial holdings, though a smaller and less institutional platform.",Asset performance and leasing.,Smaller scale. Included to map Pune real estate fully.,I03,Not benchmarked (non-Mumbai market),,
I03-029,Manager - Mall Asset Management,Phoenix Mills (Pune assets),Real Estate Developer,India,Pune,Viman Nagar,Manager,5-9 yrs (inferred),RE Asset Management,Retail asset management; tenant mix; footfall and revenue,18-30,Market estimate,Naukri,https://www.naukri.com/phoenix-mills-jobs,Target employer - not verified,Unknown,2026-09-21,7,Retail asset management is revenue optimisation against occupancy with a turnover-rent overlay - close to his discipline in a different asset.,Occupancy and revenue optimisation.,Phoenix operates Pune retail assets; confirm the seat is Pune rather than Mumbai head office.,I03,Not benchmarked (non-Mumbai market),,
I03-030,Manager - Asset Management,Embassy Office Parks (Pune assets),REIT / InvIT,India,Pune,Hinjewadi,Manager,5-9 yrs (inferred),RE Asset Management,REIT asset management; leasing; occupancy; NOI,20-34,Market estimate,Company Careers Page,https://www.embassyofficeparks.com/,Target employer - not verified,Unknown,2026-09-21,8,India's first listed office REIT holds significant Pune assets; REIT asset management is institutional occupancy and NOI work.,REIT-level occupancy strategy and NOI growth.,Embassy is Bengaluru-headquartered - confirm whether the seat is genuinely Pune-based or a Bengaluru role covering Pune.,I03,Not benchmarked (non-Mumbai market),,
I03-031,Manager - Asset Management,Mindspace REIT (Pune assets),REIT / InvIT,India,Pune,Airoli-adjacent / Pune,Manager,5-9 yrs (inferred),RE Asset Management,REIT asset management; leasing strategy; occupancy,20-34,Market estimate,Company Careers Page,https://www.mindspacereit.com/,Target employer - not verified,Unknown,2026-09-21,7,K Raheja-sponsored REIT with Pune commercial assets; same institutional model as Embassy.,Occupancy and leasing strategy for listed assets.,Head office functions are Mumbai-based - verify the location of any specific seat.,I03,Not benchmarked (non-Mumbai market),,
I03-032,Manager - Commercial Asset Management,Sattva Group (Salarpuria Sattva),Real Estate Developer,India,Hyderabad,HITEC City,Manager,5-9 yrs (inferred),RE Asset Management,Commercial asset management; leasing; occupancy; portfolio performance,18-32,Market estimate,Naukri,https://www.naukri.com/salarpuria-sattva-jobs-careers-4700748,Search-surfaced,Unknown,2026-09-21,8,"Sattva has built over 25 msf in Hyderabad alone including the 172-acre Knowledge City, and it is the sponsor behind Knowledge Realty Trust - a REIT-adjacent platform with real asset-management depth.",Commercial occupancy and leasing strategy at institutional scale.,"Strategically useful: Sattva sponsors Knowledge Realty Trust, which appeared as a fit-10 target in the Mumbai lane. A Hyderabad role here is a credible route into that platform.",I03,Not benchmarked (non-Mumbai market),,
I03-033,Manager - Investments,Sattva Group (Salarpuria Sattva),Real Estate Developer,India,Hyderabad,HITEC City,Manager,5-9 yrs (inferred),RE Investments,Investment analysis; feasibility; portfolio strategy,20-34,Market estimate,Naukri,https://www.naukri.com/sattva-group-salarpuria-jobs,Search-surfaced,Unknown,2026-09-21,8,Investment and acquisitions roles were visible at Sattva; the REIT sponsorship makes fund-structure fluency valuable here.,Asset-level investment analysis and JV structuring.,Same strategic logic as the row above - this is the investment side of the Knowledge Realty Trust sponsor.,I03,Not benchmarked (non-Mumbai market),,
I03-034,Manager - Leasing & Asset Strategy,My Home Group,Real Estate Developer,India,Hyderabad,Gachibowli,Manager,5-9 yrs (inferred),Leasing Strategy,Leasing; commercial strategy; occupancy,16-28,Market estimate,Naukri,https://www.naukri.com/my-home-group-jobs,Target employer - not verified,Unknown,2026-09-21,6,Major Hyderabad developer with growing commercial holdings; less institutional than Sattva.,Leasing and occupancy strategy.,Promoter-driven. Weigh governance maturity against the role scope.,I03,Not benchmarked (non-Mumbai market),,
I03-035,Manager - Asset Management,Phoenix Mills (Hyderabad assets),Real Estate Developer,India,Hyderabad,Hyderabad (unspecified),Manager,5-9 yrs (inferred),RE Asset Management,Retail asset management; tenant mix; revenue,18-30,Market estimate,Naukri,https://www.naukri.com/phoenix-mills-jobs,Target employer - not verified,Unknown,2026-09-21,7,Phoenix is expanding its retail portfolio into Hyderabad; retail asset management is occupancy-and-revenue work.,Occupancy and revenue optimisation in retail.,Confirm whether the seat is genuinely Hyderabad-based.,I03,Not benchmarked (non-Mumbai market),,
I03-036,Manager - Asset Management,Mindspace REIT (Hyderabad assets),REIT / InvIT,India,Hyderabad,Madhapur,Manager,5-9 yrs (inferred),RE Asset Management,REIT asset management; leasing; occupancy; NOI,20-34,Market estimate,Company Careers Page,https://www.mindspacereit.com/,Target employer - not verified,Unknown,2026-09-21,8,Mindspace holds substantial Hyderabad commercial assets; listed-REIT asset management is his discipline in a listed wrapper.,Occupancy strategy and NOI growth for listed assets.,"Hyderabad is one of Mindspace's core markets, so a genuinely local seat is plausible here - more so than at Pune.",I03,Not benchmarked (non-Mumbai market),,
I03-037,Manager - Commercial Strategy,ASF Group (Hyderabad),Real Estate Developer,India,Hyderabad,Hyderabad (unspecified),Manager,5-9 yrs (inferred),RE Asset Management,Commercial leasing; asset strategy,15-26,Market estimate,LinkedIn,https://in.linkedin.com/company/asf-group,Target employer - not verified,Unknown,2026-09-21,5,Smaller commercial developer; the function exists but the platform is thin.,Leasing and commercial strategy.,"Weak row, scored accordingly. Included for map completeness.",I03,Not benchmarked (non-Mumbai market),,
I03-038,Manager - Asset Management,DLF (DLF Downtown Chennai),Real Estate Developer,India,Chennai,Taramani,Manager,5-9 yrs (inferred),RE Asset Management,Commercial asset management; leasing; occupancy,18-30,Market estimate,Naukri,https://www.naukri.com/dlf-jobs,Target employer - not verified,Unknown,2026-09-21,8,"DLF Downtown Chennai and DLF IT Park Taramani sit inside DCCDL, the GIC joint venture - so a Chennai seat still touches the JV reporting structure that matches his background.",Occupancy strategy inside a JV-held portfolio.,"Strategically interesting: the same DCCDL platform as the Gurugram rows, at a lower cost of living. Confirm reporting lines.",I03,Not benchmarked (non-Mumbai market),,
I03-039,Manager - Portfolio & Leasing,Casagrand,Real Estate Developer,India,Chennai,Chennai (unspecified),Manager,5-9 yrs (inferred),RE Asset Management,Pricing; absorption; leasing; portfolio strategy,14-24,Market estimate,Naukri,https://www.naukri.com/casagrand-jobs,Target employer - not verified,Unknown,2026-09-21,6,Large Chennai residential developer; pricing and absorption work is relevant but the model is sell-down and the platform regional.,Pricing and absorption analytics.,Regional developer. Pay and platform are both a step below the Mumbai or NCR options.,I03,Not benchmarked (non-Mumbai market),,
I03-040,Manager - Business Planning,Shriram Properties,Real Estate Developer,India,Chennai,Chennai (unspecified),Manager,5-9 yrs (inferred),FP&A,Business planning; feasibility; pricing,14-24,Market estimate,Naukri,https://www.naukri.com/shriram-properties-jobs,Target employer - not verified,Unknown,2026-09-21,6,Listed South India developer; business planning covers pricing and feasibility.,Business planning and pricing.,Modest scale. Honest fit rather than an exciting one.,I03,Not benchmarked (non-Mumbai market),,
I03-041,Manager - Commercial Leasing,Olympia Group,Real Estate Developer,India,Chennai,Guindy,Manager,4-8 yrs (inferred),Leasing Strategy,Office leasing; tenant management; occupancy,13-22,Market estimate,Naukri,https://www.naukri.com/olympia-group-jobs,Target employer - not verified,Unknown,2026-09-21,5,"Chennai commercial developer with office parks; small platform, real function.",Leasing and occupancy.,Thin. Recorded for completeness of the Chennai map.,I03,Not benchmarked (non-Mumbai market),,
I03-042,VP - Investment Operations,Morgan Stanley (Chennai),Investment Bank,India,Chennai,Chennai (unspecified),VP,8-12 yrs (inferred),Fund Finance,Investment operations; fund servicing; controls,35-60,Market estimate,Company Careers Page,https://www.morganstanley.com/careers,Target employer - not verified,Unknown,2026-09-21,7,Morgan Stanley's Chennai centre does genuine investment operations at bank-tier pay - the best-paying Chennai row here.,Fund operations and capital activity at an institutional bank.,Bank tier pays well above the regional developers in this city. Confirm the function is private markets rather than listed products.,I03,Not benchmarked (non-Mumbai market),,
I03-043,Manager - Fund Reporting,EY Global Delivery Services (Chennai),Consulting,India,Chennai,Chennai (unspecified),Manager,5-9 yrs (inferred),Fund Finance,Fund reporting; financial statements; client delivery,15-26,Market estimate,Company Careers Page,https://www.ey.com/en_in/careers,Target employer - not verified,Unknown,2026-09-21,5,"Outsourced fund reporting delivery; real content, service-side scope.",Fund financial reporting.,Same caveat as the Hyderabad EY row - delivery rather than ownership.,I03,Not benchmarked (non-Mumbai market),,
I03-044,Manager - Decision Science,Tiger Analytics (Chennai),Global Capability Centre,India,Chennai,Chennai (unspecified),Manager,5-9 yrs (inferred),Data & Analytics,Decision science; pricing models; forecasting,20-35,Market estimate,LinkedIn,https://in.linkedin.com/company/tiger-analytics,Target employer - not verified,Unknown,2026-09-21,6,Analytics consultancy where pricing and forecasting models are the product; transferable but client-delivery rather than principal.,Pricing and forecasting model design.,Chennai-headquartered with real analytics depth. Consulting-style delivery model.,I03,Not benchmarked (non-Mumbai market),,
I03-045,Manager - Analytics,LatentView Analytics,Global Capability Centre,India,Chennai,Chennai (unspecified),Manager,5-9 yrs (inferred),Data & Analytics,Analytics; forecasting; client delivery,18-30,Market estimate,LinkedIn,https://in.linkedin.com/company/latentview-analytics,Target employer - not verified,Unknown,2026-09-21,5,"Listed Chennai analytics firm; solid work, furthest from his real-asset domain.",Forecasting and analytics.,Weak domain fit. Included to complete the Chennai picture.,I03,Not benchmarked (non-Mumbai market),,
