Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source
A05-011,Director - Capital Markets & Land Advisory,ANAROCK Capital,Investment Bank,BKC,Director,~10-14 yrs (inferred),RE Investments,Land and portfolio transactions; valuation; JV structuring; investor relationships; feasibility analysis,60-100,Market estimate,Company Careers Page,https://www.anarock.com/careers,Target employer - not verified,Unknown,2026-09-19,7,"JV structuring and land monetisation mirror the JV capital planning and exit-channel decisions he already makes, though Indian land diligence is a genuine knowledge gap.",JV capital planning and waterfall/promote structuring,Director level may be a stretch without India transaction credit and local developer relationships - position as a VP-to-Director conversation.,A05
A05-012,Director - Capital Markets (Investment Sales & Structured Finance),CBRE India,Consulting,Mumbai (unspecified),Director,~9-14 yrs (inferred),RE Investments,Investment sales; debt & structured finance; equity placement; asset underwriting; institutional coverage,55-95,Market estimate,Company Careers Page,https://www.cbre.co.in/services/invest-finance-and-value/capital-markets,Target employer - not verified,Unknown,2026-09-19,8,"CBRE Capital Markets runs investment sales, debt/structured finance and equity placement in India - the buy/sell/finance decision stack he operates on the principal side at Amherst.",Asset-level exit strategy and channel selection across a large residential portfolio,"CBRE India careers portal is the route. Residential-at-scale is an unusual and valuable credential in India where capital markets skews office/industrial - make that the differentiator, not a liability.",A05
A05-013,Senior Manager - Capital Markets,Cushman & Wakefield India,Consulting,Mumbai (unspecified),Senior Manager,~6-10 yrs (inferred),RE Investments,Investment advisory; cash-flow underwriting; market research; transaction execution; client pitching,30-55,Market estimate,LinkedIn,https://in.linkedin.com/jobs/investment-banking-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,7,"Same advisory stack as JLL/CBRE at a slightly smaller platform; his underwriting and portfolio analytics transfer, the client-origination piece does not yet.",Portfolio performance management and revenue forecasting,"C&W India capital markets is leaner than CBRE/JLL, so the seat carries broader scope but less deal flow. Useful as a second-choice consultancy option.",A05
A05-014,Director - Capital Markets & Investment Services,Colliers India,Consulting,Mumbai (unspecified),Director,~9-13 yrs (inferred),RE Investments,Investment sales; portfolio transactions; investor coverage; valuation; deal structuring,50-85,Market estimate,LinkedIn,https://in.linkedin.com/jobs/investment-banking-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Colliers India capital markets covers institutional investment sales; his owner-side underwriting is relevant but the role is relationship-led in a market where he has no network.,Institutional RE investment analysis at platform scale,Network gap is the honest obstacle at Director level in India consultancy capital markets. Consider entering at VP/AD and growing into it.,A05
A05-015,Vice President - Capital Markets,Knight Frank India,Consulting,Mumbai (unspecified),VP,~7-12 yrs (inferred),RE Investments,Capital markets advisory; residential and commercial transactions; underwriting; investor coverage; valuation,40-70,Market estimate,LinkedIn,https://in.linkedin.com/jobs/investment-banking-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,7,"Knight Frank India has a strong residential franchise, which is the one consultancy where his single-family-rental pricing and leasing strategy background is directly conversational.",Rent/pricing optimisation and leasing strategy across a large residential portfolio,Residential-heavy platform - the best consultancy fit for his asset class. Comp typically below CBRE/JLL for equivalent title.,A05
A05-016,Vice President - InvIT / REIT Capital Markets,Axis Capital,Investment Bank,Worli,VP,~7-12 yrs (inferred),IB Coverage,REIT/InvIT structuring; ECM execution; regulatory (SEBI InvIT/REIT) navigation; investor marketing; valuation,60-100,Market estimate,Company Careers Page,https://www.axiscapital.co.in/careers,Search-surfaced,Unknown,2026-09-19,8,"Axis Capital has executed 25+ InvIT/REIT transactions since 2019 - the distribution, yield and unitholder-return mechanics of an InvIT are the same waterfall and preferred-return maths he already models.","Distribution modelling: waterfall, promote and preferred-return mechanics across funds and JVs",Strongest domestic REIT/InvIT franchise in the lane. He must learn SEBI InvIT/REIT regulations cold before interviews - that regulatory fluency is what Axis sells. Careers page at axiscapital.co.in.,A05
A05-017,"VP - Investment Banking, Real Estate & Infrastructure",ICICI Securities,Investment Bank,Mumbai (unspecified),VP,~7-12 yrs (inferred),IB Coverage,ECM & M&A execution; RE/infra coverage; valuation; regulatory filings; institutional investor marketing,55-90,Market estimate,Naukri,https://www.naukri.com/investment-banking-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,"I-Sec runs a large Mumbai ECM and advisory franchise including real-asset issuers; his modelling depth fits, his lack of Indian listing-process experience does not.",Real estate investment analysis and capital planning,"Domestic bank IB tends to hire CA/IIM profiles with Indian deal credit. Pre-empt with a clear story on why platform-side analytics is an advantage, plus willingness to start at AVP.",A05
A05-018,Vice President - Real Estate Investment Banking,JM Financial,Investment Bank,Mumbai (unspecified),VP,~7-12 yrs (inferred),IB Coverage,RE developer coverage; equity & structured capital raises; valuation; deal execution; investor syndication,55-95,Market estimate,Company Careers Page,https://www.jmfl.com/careers/career-space/success-stories,Target employer - not verified,Unknown,2026-09-19,8,"JM Financial is one of the deepest real-estate franchises in Indian finance, spanning advisory and wholesale mortgage lending to developers - a rare integrated RE platform where his experience compounds.","Institutional RE platform experience across acquisition, pricing and disposition",JM has both an IB arm and a real estate lending arm - worth targeting both. Headquartered in Mumbai (Prabhadevi). Sell-side hours are materially worse than his current strategy seat; be explicit about that trade-off.,A05
A05-019,AVP - Real Estate Credit & Wholesale Mortgage Advisory,JM Financial Credit Solutions,NBFC / HFC,Mumbai (unspecified),AVP,~5-10 yrs (inferred),RE Investments,Developer credit underwriting; project cash-flow modelling; collateral & security structuring; portfolio monitoring; sales-velocity analysis,35-65,Market estimate,Naukri,https://www.naukri.com/investment-banking-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Underwriting developer loans turns on projected sales velocity and price realisation - precisely the pricing and absorption forecasting he does for a residential portfolio.,Revenue forecasting and absorption/velocity modelling for residential assets,"Credit seat rather than advisory - better hours than IB, and the residential sales-velocity angle is genuinely differentiating. Pre-empt: no Indian credit-policy or RERA experience.",A05
A05-020,Vice President - Investment Banking (Real Assets),Nuvama Capital Markets,Investment Bank,Mumbai (unspecified),VP,~7-12 yrs (inferred),IB Coverage,M&A and capital raising; sector coverage; financial modelling; institutional distribution; deal structuring,55-90,Market estimate,iimjobs,https://www.iimjobs.com/k/investment-banking-jobs,Target employer - not verified,Unknown,2026-09-19,6,"Nuvama has a strong institutional securities and capital-markets platform but no standout real-estate coverage franchise, so the sector edge he carries is diluted.",Financial modelling and capital markets analytics,"Nuvama (ex-Edelweiss Securities, PAG-controlled) hires actively in Mumbai IB. Confirmed hiring activity observed is in Healthcare/Pharma coverage, not real assets - treat sector fit as unverified.",A05
A05-021,"Vice President - Investment Banking, Real Estate & Infrastructure",IIFL Capital Services,Investment Bank,Lower Parel,VP,~7-12 yrs (inferred),IB Coverage,RE/infra coverage; equity capital markets; valuation; investor coverage; transaction execution,50-85,Market estimate,iimjobs,https://www.iimjobs.com/k/investment-banking-jobs,Target employer - not verified,Unknown,2026-09-19,7,IIFL has an active real-asset and REIT-adjacent institutional franchise in Mumbai; his underwriting and distribution-mechanics knowledge is relevant to their issuer conversations.,REIT/InvIT distribution mechanics and asset-level underwriting,Route via iimjobs or a Mumbai IB headhunter. Group has multiple listed entities - confirm which one holds the institutional IB seat before applying.,A05
A05-022,Vice President - Investment Banking (Real Estate & Infrastructure),Ambit Capital,Investment Bank,Lower Parel,VP,~7-12 yrs (inferred),IB Coverage,M&A and private capital raising; RE/infra sector coverage; LBO/DCF modelling; client origination; structuring,55-95,Market estimate,iimjobs,https://www.iimjobs.com/k/investment-banking-jobs,Target employer - not verified,Unknown,2026-09-19,7,"Ambit runs a private-capital and advisory franchise touching real assets; his fund-mechanics fluency is useful in sponsor conversations, though origination credit is what drives VP hiring.","Fund and JV capital planning, capital calls and commitments","Boutique culture, lean teams, high accountability. Realistic entry is AVP unless he can show transaction leadership. Mumbai office in Lower Parel.",A05
A05-023,Vice President - Investment Banking (Real Assets / Infrastructure),Avendus Capital,Investment Bank,Mumbai (unspecified),VP,~7-12 yrs (inferred),IB Coverage,Private capital raising; M&A execution; sponsor coverage; valuation; deal structuring,60-100,Market estimate,Company Careers Page,https://www.avendus.com/business/investment-banking,Target employer - not verified,Unknown,2026-09-19,6,"Avendus is the premier Indian private-capital advisor but is weighted to consumer, technology and financial services rather than real assets, so his sector depth is under-used.",Sponsor-side fund mechanics and capital deployment planning,"KKR-backed, strong brand, very competitive hiring bar. Open roles surface on iimjobs Avendus careers page. Sector mismatch is the honest weakness here.",A05
A05-024,Vice President - Equity Capital Markets,DAM Capital Advisors,Investment Bank,Mumbai (unspecified),VP,~6-11 yrs (inferred),IB Coverage,IPO/QIP execution; SEBI documentation; valuation; institutional investor marketing; issuer coverage,45-80,Market estimate,iimjobs,https://www.iimjobs.com/k/investment-banking-jobs,Target employer - not verified,Unknown,2026-09-19,5,ECM execution is process- and documentation-heavy Indian regulatory work; his analytical strengths help but almost none of his specific real-asset expertise applies.,Valuation and financial modelling rigour,DAM (ex-IDFC Securities IB) is an active listed ECM house. Weak lane fit - include only if he wants breadth into Indian capital markets. Steep regulatory learning curve.,A05
A05-025,Vice President - Investment Banking (Real Estate),Equirus Capital,Investment Bank,Mumbai (unspecified),VP,~6-11 yrs (inferred),IB Coverage,M&A and private placements; RE sector coverage; financial modelling; investor coverage; structuring,45-80,Market estimate,iimjobs,https://www.iimjobs.com/k/investment-banking-jobs,Target employer - not verified,Unknown,2026-09-19,6,Mid-market house with real-asset exposure; the modelling transfers but coverage seats here reward existing promoter relationships he does not have in India.,Asset-level investment analysis and exit-channel strategy,"Entrepreneurial, mid-market. Realistic path is a modelling-heavy AVP/VP execution seat rather than an origination role.",A05
A05-026,Vice President - Structured Finance & Investment Banking,Centrum Capital,Investment Bank,Worli,VP,~6-11 yrs (inferred),IB Coverage,Structured debt; real estate financing; cash-flow modelling; security structuring; investor placement,40-70,Market estimate,Naukri,https://www.naukri.com/investment-banking-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,"Centrum has historically done real-estate structured credit where project cash-flow and sales-velocity modelling matters, overlapping his forecasting work.",Revenue and cash-flow forecasting for residential assets,"Smaller platform, comp below the top domestic houses. Confirm the RE structured-finance desk is still active before investing time.",A05
A05-027,Vice President - M&A Advisory,o3 Capital,Investment Bank,Mumbai (unspecified),VP,~6-10 yrs (inferred),IB Coverage,M&A execution; valuation; due diligence; negotiation support; client coverage,40-75,Market estimate,iimjobs,https://www.iimjobs.com/ma-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,5,"Generalist boutique M&A - transferable modelling only, with no real-estate or real-asset angle to leverage.",Transaction modelling and cross-functional deal execution,"Small team, primarily Bengaluru-rooted with Mumbai presence - confirm the Mumbai seat exists before applying. Low priority.",A05
A05-028,Vice President - Investment Banking,Spark Capital,Investment Bank,Mumbai (unspecified),VP,~6-11 yrs (inferred),IB Coverage,Private capital raising; M&A; financial modelling; sector research; client coverage,40-75,Market estimate,iimjobs,https://www.iimjobs.com/k/investment-banking-jobs,Target employer - not verified,Unknown,2026-09-19,5,Research-led mid-market bank with limited real-asset coverage - his domain expertise would be largely idle.,Analytical rigour and modelling depth,"Chennai-headquartered with a Mumbai IB presence. Treat as a breadth option, not a target.",A05
A05-029,Senior Associate - Investment Banking,IMAP India,Investment Bank,Mumbai (unspecified),Associate,1-4 yrs (as posted),IB Coverage,M&A execution; financial modelling; pitch preparation; valuation; cross-border coordination,20-35,Market estimate,iimjobs,https://www.iimjobs.com/j/imap-india-associate-senior-associate-investment-banking-ca-iim-mdi-isb-fms-1-4-yrs-450548,Search-surfaced,Unknown,2026-09-19,4,Real listing but the posted 1-4 yr band and CA/IIM screen sit well below his profile - recorded only as evidence of an active Mumbai M&A desk.,Not applicable at this level - use as a networking entry point only,Below his band; do not apply. Useful only to identify the IMAP India Mumbai team and approach the VP/Director above this req.,A05
A05-030,Associate Director - M&A Advisory,Veda Corporate Advisors,Investment Bank,Mumbai (unspecified),Director,~7-12 yrs (inferred),IB Coverage,M&A origination and execution; valuation; promoter coverage; deal structuring; sector research,35-65,Market estimate,iimjobs,https://www.iimjobs.com/ma-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,4,Small generalist advisory with a promoter-driven origination model that depends entirely on an Indian network he does not have.,Financial modelling and strategic analysis,"Chennai-headquartered; Mumbai presence is thin. Included for completeness of the lane - low priority, verify the Mumbai seat first.",A05
A05-031,"Vice President - Investment Banking Division, Real Estate",Morgan Stanley India,Investment Bank,Mumbai (unspecified),VP,~7-12 yrs (inferred),IB Coverage,RE M&A and ECM; REIT valuation; cross-border structuring; sponsor coverage; complex modelling,90-160,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,7,Morgan Stanley has a genuine global real estate franchise and its India IBD covers real-asset sponsors; his US institutional RE platform experience reads well to a global bank.,US institutional single-family-rental platform experience - a sector global banks cover in the US,Highest comp in the lane and the best brand leverage for his US background. But bulge-bracket VP hiring is almost exclusively lateral from another IB - the no-sell-side-deal-sheet gap is severe. Consider MS India strategy/GCC seats as an alternate door.,A05
A05-032,"Associate - Investment Banking Division, Real Estate & Lodging",Goldman Sachs India,Investment Bank,Mumbai (unspecified),Associate,~4-8 yrs (inferred),IB Coverage,RE and lodging coverage; valuation; M&A/ECM execution; financial modelling; client materials,60-110,Market estimate,LinkedIn,https://in.linkedin.com/jobs/investment-banking-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Real Estate & Lodging coverage sits exactly across his two strongest domains - residential real estate assets and revenue/yield management - even if the seat is sell-side.,Residential portfolio economics plus rent/ADR-style yield optimisation,GS India IBD Associate hiring is competitive and largely from top MBA or lateral IB. His US platform background is an asset in interviews; hours and lifestyle are the honest downside to weigh.,A05
A05-033,"Vice President - Investment Banking, Real Estate & Infrastructure",J.P. Morgan India,Investment Bank,BKC,VP,~8-13 yrs (inferred),IB Coverage,RE/infra coverage; M&A and capital markets execution; valuation; sponsor relationships; structuring,90-160,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,7,J.P. Morgan runs dedicated real estate investment banking globally and covers Indian real-asset issuers; his platform-side credential is genuinely relevant to their US RE franchise too.,"Institutional single-family-rental platform: pricing, disposition and fund mechanics",An internal US-to-India transfer or a US RE IBD conversation may be an easier door than a cold India VP application. J.P. Morgan India front office is BKC-based.,A05
A05-034,Vice President - Infrastructure & Project Finance,Citi India,Investment Bank,BKC,VP,~8-13 yrs (inferred),IB Coverage,Project finance modelling; renewables & transport coverage; debt structuring; credit analysis; sponsor coverage,85-150,Market estimate,Company Careers Page,https://jobs.citi.com/job/new-york/investment-banker-global-infrastructure-finance-vp/287/91945164384,Target employer - not verified,Unknown,2026-09-19,6,"Citi runs a global infrastructure finance franchise and the long-dated project cash-flow modelling overlaps his fund planning work, but infra is a domain he has never covered.",Long-horizon capital deployment and scenario forecasting,"The Citi req actually seen in search is New York-based Global Infrastructure Finance, not Mumbai - this row is the India analogue and is NOT a verified Mumbai posting. Citi India front office is at Citigroup Centre, BKC.",A05
A05-035,"Vice President - Investment Banking, Real Estate & Lodging",BofA India,Investment Bank,Mumbai (unspecified),VP,~8-13 yrs (inferred),IB Coverage,RE/lodging coverage; M&A and ECM; REIT analysis; valuation; client origination,85-150,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,7,BofA covers real estate and lodging globally; the asset classes map to his experience even though the India team is small and hires rarely.,Residential real estate economics plus revenue management for hospitality-style assets,India RE coverage headcount at BofA is thin - openings are infrequent. Better treated as a network-and-wait target than an active application.,A05
A05-036,Vice President - Real Estate & Infrastructure Finance (Global Banking),HSBC India,Bank,Fort,VP,~8-13 yrs (inferred),RE Investments,RE and infra lending; credit structuring; cash-flow modelling; client coverage; risk assessment,60-110,Market estimate,LinkedIn,https://in.linkedin.com/jobs/infrastructure-investment-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,7,"Balance-sheet real estate and infrastructure finance at a global bank - lender-side underwriting of the same assets he owns and prices, with far better hours than sell-side IB.",Asset-level underwriting and portfolio performance analytics,Banking hours are materially more sustainable than advisory. HSBC India corporate banking is Fort/BKC based. Pre-empt the gap: no Indian credit-approval or regulatory experience.,A05
A05-037,Vice President - Investment Banking Coverage,Barclays India,Investment Bank,Mumbai (unspecified),VP,~8-13 yrs (inferred),IB Coverage,Corporate coverage; M&A and financing; valuation; capital structure advisory; client materials,80-140,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,6,"Generalist coverage at a global bank - strong comp and brand, but no real-estate specialism to anchor his candidacy.",Financial modelling and capital planning,Barclays India front office is small; much of its Mumbai headcount is the Nirlon Knowledge Park GCC rather than coverage. Confirm which entity the role sits in.,A05
A05-038,Vice President - Real Estate Finance / IB Coverage,Deutsche Bank India,Investment Bank,Mumbai (unspecified),VP,~8-13 yrs (inferred),RE Investments,Commercial real estate finance; structuring; underwriting; client coverage; cash-flow modelling,75-130,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,6,"Deutsche has a genuine global commercial real estate finance business, but the India seat is predominantly generalist coverage and support rather than dedicated CRE.",Commercial and residential asset underwriting,Large Deutsche India footprint is GCC (Goregaon/Powai); front-office coverage is a much smaller BKC/Nariman Point team. Verify entity before applying.,A05
A05-039,"Director - Real Estate & Infrastructure Finance, India",Standard Chartered Bank,Bank,BKC,Director,~9-14 yrs (inferred),RE Investments,Structured RE/infra lending; project finance; credit structuring; client coverage; portfolio risk,70-120,Market estimate,LinkedIn,https://in.linkedin.com/jobs/infrastructure-investment-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,7,StanChart runs real estate and infrastructure structured finance in India; his underwriting and cash-flow forecasting skills apply directly on the lender side.,Portfolio-level cash-flow forecasting and asset performance management,Better work-life shape than sell-side IB. Director title will likely require Indian market credit experience - be prepared to enter as Associate Director/VP.,A05
A05-040,VP - Real Assets & Infrastructure Finance,BNP Paribas India,Bank,Mumbai (unspecified),VP,~8-13 yrs (inferred),RE Investments,Infrastructure finance; project modelling; structured lending; client coverage; credit analysis,65-110,Market estimate,LinkedIn,https://in.linkedin.com/jobs/infrastructure-investment-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,6,BNP is a strong global real-assets lender; the modelling transfers but Indian infrastructure coverage is a domain he would be learning from scratch.,Long-dated asset cash-flow and capital deployment modelling,"BNP India has a large GCC alongside a smaller front office - confirm the seat is coverage, not support. Lower priority than the RE-specific rows.",A05
A05-041,Director - Investment Banking Coverage,UBS India,Investment Bank,BKC,Director,~9-14 yrs (inferred),IB Coverage,Corporate and sponsor coverage; M&A; ECM; valuation; origination,90-160,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,6,"Generalist bulge-bracket coverage - excellent comp, but origination-led and with no real-estate anchor for his profile.",Transaction modelling and strategic analysis,UBS rebuilt its India IB presence post-Credit Suisse integration; hiring is episodic. Director entry without Indian deal credit is unlikely - treat as aspirational.,A05
A05-042,Vice President - Investment Banking (Real Estate),Jefferies India,Investment Bank,Mumbai (unspecified),VP,~8-13 yrs (inferred),IB Coverage,RE coverage; M&A and capital raising; REIT analysis; valuation; sponsor coverage,80-140,Market estimate,LinkedIn,https://in.linkedin.com/jobs/vice-president-investment-banking-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,7,Jefferies has an aggressive global real estate investment banking practice and a growing India platform - one of the more plausible global-bank RE seats for him.,US institutional RE platform experience and asset-level exit analytics,Jefferies has been expanding India headcount. His US RE background is a credible talking point with a firm that runs a large US RE franchise - consider a US-side referral into the India team.,A05
