Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source,Comp_Check,Verification_Note,Last_Verified
A11-011,Manager – Decision Management (Analytics),Citi,Bank,Mumbai (unspecified),Manager,~6-10 yrs (inferred),Data & Analytics,Decision management; credit/marketing analytics; SQL; SAS/Python; segmentation,30-48,Market estimate,Company Careers Page,https://jobs.citi.com/employment/mumbai-maharashtra-india-decision-management-jobs/287/19607/1269750-1264418-1275339/4,Search-surfaced,Unknown,2026-09-19,7,"Citi's Decision Management function in Mumbai is a direct analogue to data-driven pricing/segmentation strategy, close to his revenue-management skillset.",Pricing/yield optimisation translating to decision-management analytics,"Careers page shows an active Decision Management job category for Mumbai, not one confirmed single req. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.",A11,In line (22-46),,
A11-012,"Manager/AVP – Data & Analytics (Financial Services, client undisclosed)",Michael Page,Recruiter / Search Firm,Mumbai (unspecified),AVP,~6-10 yrs (inferred),Data & Analytics,Financial services analytics; stakeholder management; Excel/SQL; reporting,Not disclosed,Unknown,Michael Page,https://www.michaelpage.co.in/jobs/finance/mumbai,Search-surfaced,Unknown,2026-09-19,6,Michael Page's Mumbai finance job listings page indicates active recruiter-fronted mandates in this band; client identity not disclosed in the listing.,General finance/analytics leadership background,Recruiter-fronted; client not named on the listing page — register profile with Michael Page Mumbai finance desk directly.,A11,No range given (benchmark 22-46),,
A11-013,Manager – Real Estate Research & Analytics,CRISIL,Consulting,Powai,Manager,~6-10 yrs (inferred),RE Investments,Real estate research; market analytics; financial modelling; report writing; SQL/Excel,25-40,Market estimate,Naukri,https://www.naukri.com/crisil-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,CRISIL Research's Mumbai (Powai) real-estate practice is a direct match for his pricing/portfolio and asset-level analysis experience.,Retail disposition strategy = asset-level exit analytics,No live posting seen; CRISIL's Powai HQ and real-estate research practice make this a well-founded target. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-014,Senior Manager – Risk & Analytics,CRISIL,Consulting,Powai,Senior Manager,~8-12 yrs (inferred),Strategy,Risk analytics; ratings methodology; financial modelling; stakeholder management,35-55,Market estimate,Naukri,https://www.naukri.com/crisil-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,Ratings-adjacent risk/analytics leadership is a step sideways from real-asset revenue management but leverages the same financial-modelling rigor.,Scenario/forecast modelling and portfolio performance management,No specific req seen; general target given CRISIL's scale and Powai base. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,Not benchmarked,,
A11-015,AVP – Investment Research & Analytics,Acuity Knowledge Partners,Consulting,Mumbai (unspecified),AVP,~7-11 yrs (inferred),RE Investments,Buy-side/sell-side research support; financial modelling; real assets coverage; client management,30-50,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Acuity%20Knowledge%20Partners&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,7,Acuity's KPO model serves global asset managers' research needs; his asset-level and fund-analytics background fits its real-assets coverage teams well.,Fund and JV capital planning; distribution modelling for global asset-manager clients,Known Mumbai delivery centre; no specific req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-016,Manager – Valuation & Investment Research (Real Estate),Aranca,Consulting,Mumbai (unspecified),Manager,~6-10 yrs (inferred),RE Investments,Valuation; investment research; real estate/PE coverage; financial modelling,25-42,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Aranca&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,8,Aranca is headquartered in Mumbai and runs real-estate/PE valuation research — a strong match for his asset-level exit-analytics and fund-modelling background.,Retail disposition strategy = asset-level valuation and exit analytics,Mumbai HQ firm; no live posting seen. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,Not benchmarked,,
A11-017,Manager – Analytics Delivery (BFSI),Quantiphi,Consulting,Andheri East,Manager,~6-10 yrs (inferred),Data & Analytics,AI/ML delivery management; BFSI analytics; cloud data platforms; client management,28-45,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Quantiphi&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,5,"Quantiphi is a Mumbai-headquartered AI/ML consultancy; the role is engineering/ML-platform heavy, a step beyond the modelling-not-coding depth his profile claims.",Cross-functional strategy work translated into client-facing analytics delivery,Be candid that hands-on ML engineering is not his strength; position as business-side delivery manager. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-018,Manager – Research & Analytics (Fixed Income/Real Estate),ICRA Analytics,Consulting,Mumbai (unspecified),Manager,~6-10 yrs (inferred),RE Investments,Fixed income research; real estate analytics; financial modelling; report writing,22-38,Market estimate,Naukri,https://www.naukri.com/icra-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,"ICRA Analytics' research/analytics function overlaps with his financial-modelling and portfolio-analysis skillset, though its core is ratings-linked, not asset management.",Financial modelling and portfolio performance management,Mumbai office presence inferred from ICRA group's Mumbai capital-markets footprint. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-019,AVP – Investment Research (Real Assets),Evalueserve,Consulting,Mumbai (unspecified),AVP,~7-11 yrs (inferred),RE Investments,Investment research; real assets; financial modelling; client delivery,28-45,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Evalueserve&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,7,Evalueserve's research-and-analytics KPO model serving asset managers is a strong adjacency to his fund/asset-level analytical work.,Fund and JV capital planning; asset-level investment analysis,Mumbai delivery presence assumed from KPO footprint; no live req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,Not benchmarked,,
A11-020,Manager – Fund/Portfolio Data Analytics,Morningstar,Consulting,Navi Mumbai,Manager,~6-10 yrs (inferred),Portfolio Management,Fund data analytics; portfolio performance data; SQL; financial data modelling,25-42,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Morningstar&location=Navi%20Mumbai,Target employer - not verified,Unknown,2026-09-19,7,"Morningstar's Navi Mumbai centre covers fund and portfolio data analytics, directly adjacent to his portfolio-performance-management background.",Portfolio performance management and revenue forecasting,Morningstar India's Navi Mumbai office is well-established; no specific req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-021,Data Analyst Lead – Financial Markets Data,Bloomberg,Consulting,Mumbai (unspecified),Manager,~6-9 yrs (inferred),Data & Analytics,Financial markets data; data quality; SQL; client-facing analytics,30-48,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Bloomberg&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,6,"Bloomberg's Mumbai office runs financial-data analytics functions consistent with his BI/decision-support experience, though not real-estate specific.",SQL/Excel/BI-driven decision support,No live req captured; general target given Bloomberg's Mumbai presence. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-022,Manager – Content & Data Analytics (Fixed Income/Real Assets),LSEG,Consulting,Mumbai (unspecified),Manager,~6-10 yrs (inferred),Data & Analytics,Financial content analytics; fixed income data; SQL; stakeholder management,25-42,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=LSEG&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,6,LSEG (Refinitiv)'s Mumbai analytics/content teams are a reasonable adjacency to his financial-modelling and data-driven decision-support background.,Financial modelling and BI-driven decision support,No specific req captured; LSEG has an established India analytics presence. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-023,Manager – Business & Pricing Analytics,Upstox,Fintech,Mumbai (unspecified),Manager,~6-9 yrs (inferred),Revenue Management,Pricing analytics; growth/business analytics; SQL; forecasting,30-48,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Upstox&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,7,Upstox is Mumbai-headquartered; pricing/business analytics for a broking platform is a close conceptual match to rent/pricing optimisation work.,Rent/pricing optimisation = yield and pricing-analytics management,Mumbai HQ firm; no live req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (18-50),,
A11-024,AVP – Data & Decision Science,Angel One,Fintech,Mumbai (unspecified),AVP,~7-11 yrs (inferred),Data & Analytics,Decision science; customer/pricing analytics; SQL/Python; forecasting,35-55,Market estimate,Naukri,https://www.naukri.com/angel-one-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,"Angel One is Mumbai-headquartered; decision-science leadership for a broking platform draws on the same forecasting/analytics toolkit, outside real estate.",Revenue forecasting and portfolio performance management,Mumbai HQ firm; no live req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-025,Manager – Portfolio Analytics & Insights,Dezerv,Fintech,Mumbai (unspecified),Manager,~6-10 yrs (inferred),Portfolio Management,Portfolio analytics; wealth-management insights; SQL; financial modelling,25-42,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Dezerv&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,7,Dezerv is a Mumbai-headquartered wealth-tech; portfolio-analytics leadership is a direct conceptual match to his portfolio-management background.,Portfolio management and revenue/performance analytics,Mumbai HQ wealth-tech; no live req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-026,Manager – Real Estate Data & Pricing Analytics,Housing.com,Proptech,Andheri East,Manager,~6-10 yrs (inferred),Revenue Management,Real estate pricing data; market analytics; SQL/Python; forecasting,25-42,Market estimate,Naukri,https://www.naukri.com/housing-com-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,Housing.com's Mumbai-based real estate pricing/data-analytics function is a direct match to his residential pricing and rent-optimisation work.,"Rent/pricing optimisation = yield management, applied to India's residential market",No live req captured; Mumbai base is well established (REA India group). Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (18-50),,
A11-027,Manager – Business Intelligence & Analytics,PropertyPistol,Proptech,Mumbai (unspecified),Manager,~5-9 yrs (inferred),Data & Analytics,BI dashboards; real estate transaction analytics; SQL; Excel,18-32,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=PropertyPistol&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,6,PropertyPistol is a Mumbai-based real estate brokerage-tech firm; BI leadership over transaction data is transferable but scale is smaller than his platform experience.,BI-driven decision support across a residential portfolio,Smaller firm; comp likely below platform-scale roles. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-028,Senior Manager – Data & Revenue Analytics,Square Yards,Proptech,Mumbai (unspecified),Senior Manager,~8-12 yrs (inferred),Revenue Management,Revenue analytics; real estate data; forecasting; cross-market pricing,28-45,Market estimate,Naukri,https://www.naukri.com/square-yards-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,8,Square Yards' data-and-revenue-analytics function over a large real estate transaction platform closely mirrors his revenue-management remit.,Revenue strategy and pricing optimisation across a large portfolio,No live req captured; strong conceptual match on revenue analytics for real estate. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (18-50),,
A11-029,Manager – Pricing & Data Analytics,NoBroker,Proptech,Mumbai (unspecified),Manager,~6-10 yrs (inferred),Revenue Management,Pricing analytics; rental/resale data; SQL/Python; forecasting,25-40,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=NoBroker&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,7,"NoBroker's pricing/data-analytics work on rental and resale markets aligns with his rent-optimisation and revenue-management experience, though NoBroker is Bangalore-headquartered with Mumbai city operations.",Rent/pricing optimisation = yield management,HQ is Bangalore; role would sit in Mumbai city-ops analytics team — confirm location before applying. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (18-50),,
A11-030,Manager – Lending Analytics & Forecasting,Paytm,Fintech,Mumbai (unspecified),Manager,~6-10 yrs (inferred),Data & Analytics,Lending analytics; forecasting; SQL/Python; risk-adjusted pricing,25-42,Market estimate,Naukri,https://www.naukri.com/paytm-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,5,Lending analytics/forecasting at Paytm draws on his forecasting skillset but the domain (consumer/SME credit) is a step away from real assets.,Revenue forecasting and scenario modelling,Paytm HQ is Noida; role assumed at Mumbai office — confirm before applying. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-031,VP – Quantitative & Business Analytics,Nomura,Investment Bank,Powai,VP,~9-13 yrs (inferred; upper end of band),Data & Analytics,Business analytics; quantitative reporting; financial modelling; stakeholder management,Not disclosed,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Nomura&location=Powai%2C%20Mumbai,Target employer - not verified,Unknown,2026-09-19,6,"Nomura's Powai centre runs quantitative and business-analytics functions consistent with his financial-modelling and BI background, outside real estate.",Financial modelling and BI-driven decision support,Nomura Powai is a well-known Mumbai analytics hub; no live req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,No range given (benchmark 22-46),,
A11-032,Manager – Aladdin Business Analytics,BlackRock,Asset Manager,Mumbai (unspecified),Manager,~6-10 yrs (inferred),Portfolio Management,Aladdin platform; portfolio analytics; risk/performance data; stakeholder management,30-48,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=BlackRock%20Aladdin&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,6,"Aladdin business-analytics roles apply portfolio-performance and risk reporting logic similar to his portfolio-management remit, though platform-vendor context is new.",Portfolio performance management,BlackRock's India Aladdin business function has a Mumbai/Gurugram footprint; confirm city before applying. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-033,AVP – Business Analytics & Reporting,Deutsche Bank,Global Capability Centre,Mumbai (unspecified),AVP,~7-11 yrs (inferred),Data & Analytics,Business analytics; MIS reporting; SQL; stakeholder management,30-48,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Deutsche%20Bank%20Analytics&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,5,"Deutsche Bank's Mumbai GCC analytics/reporting function is a generalist adjacency to his BI-driven decision-support work, without a real-asset angle.",BI-driven decision support,GCC-scale generalist analytics role; no live req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-034,Manager – Markets Analytics,HSBC,Global Capability Centre,Fort,Manager,~6-10 yrs (inferred),Data & Analytics,Markets analytics; MIS; SQL; financial reporting,25-42,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=HSBC%20Analytics&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,5,"HSBC's Mumbai markets-analytics function is a generalist financial-services adjacency; HSBC's larger analytics GCC is Pune-based, so Mumbai scope is uncertain.",BI-driven decision support,HSBC's main India analytics GCC is in Pune — confirm this function actually sits in Mumbai before applying. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-035,VP – Strategic Analytics (Investment Management Division),Goldman Sachs,Investment Bank,BKC,VP,~9-13 yrs (inferred; upper end of band),Strategy,Strategic analytics; investment management; financial modelling; stakeholder management,Not disclosed,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Goldman%20Sachs&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,6,"Goldman Sachs Mumbai's investment-management-linked strategy/analytics work is a plausible adjacency, though most GS India quant/strats headcount sits in Bengaluru.",Cross-functional strategy work and financial modelling,GS's larger strats/analytics hub is Bengaluru; Mumbai role likely IB/IM-coverage adjacent — confirm scope. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,No range given (benchmark 22-46),,
A11-036,AVP – Real Estate & REIT Data Coverage,S&P Global Market Intelligence,Consulting,Mumbai (unspecified),AVP,~7-11 yrs (inferred),RE Investments,REIT/real estate data; financial data modelling; SQL; sector coverage,35-55,Market estimate,Company Careers Page,https://careers.spglobal.com/global/en/search-results?keywords=Mumbai,Target employer - not verified,Unknown,2026-09-19,8,A REIT/real-estate data-coverage role at S&P Global Market Intelligence would directly leverage his asset-level and portfolio-performance analytics background.,Portfolio performance management and asset-level investment analysis,No specific req seen for this exact title; S&P Global Mumbai is confirmed to be hiring analytics staff generally. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-037,Manager – Real Assets Index Analytics,MSCI,Consulting,Mumbai (unspecified),Manager,~6-10 yrs (inferred),RE Investments,Real assets index construction; portfolio analytics; financial modelling; SQL,30-48,Market estimate,Company Careers Page,https://careers.msci.com/job-search?production__mscicare2201__sort-rank%5BrefinementList%5D%5Btown_city_country%5D%5B0%5D=Mumbai+%7C+India,Target employer - not verified,Unknown,2026-09-19,7,MSCI runs real-assets/real-estate index products; analytics roles on that line map closely to his portfolio-performance and pricing background.,Portfolio performance management and revenue/pricing analytics,No specific req seen for this title; MSCI Mumbai analytics hiring confirmed via careers page filter. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),,
A11-038,Manager – Real Estate Market Intelligence,MagicBricks,Proptech,Mumbai (unspecified),Manager,~6-10 yrs (inferred),RE Investments,Real estate market intelligence; pricing trends; SQL/Excel; reporting,20-35,Market estimate,Naukri,https://www.naukri.com/magicbricks-jobs-careers-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,"MagicBricks' market-intelligence function on MMR pricing trends aligns with his rent/price optimisation and residential-portfolio expertise, though its core engineering/product base is Noida.",Rent/pricing optimisation = yield management,Parent Times Internet is Noida-based; a Mumbai-specific market-intelligence role is plausible but unconfirmed. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,Not benchmarked,,
A11-039,Manager – Portfolio Analytics & Fund Reporting,Kotak Investment Advisors,Real Estate PE,BKC,Manager,~6-10 yrs (inferred),Fund Finance,Fund/portfolio analytics; waterfall & distribution modelling; investor reporting; Excel/SQL,30-50,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Kotak%20Investment%20Advisors&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,9,Kotak's real estate fund platform (Kotak Realty Fund) needs exactly his distribution/waterfall modelling and fund capital-planning experience.,JV waterfall + distribution modelling,Direct-hit target; no live req captured — pursue via referral into Kotak's alternate-assets team. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-50),,
A11-040,Manager – Investment Analytics & MIS,HDFC Capital Advisors,Real Estate PE,Churchgate,Manager,~6-10 yrs (inferred),RE Investments,Real estate fund analytics; investor MIS; capital deployment tracking; financial modelling,30-50,Market estimate,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=HDFC%20Capital%20Advisors&location=Mumbai,Target employer - not verified,Unknown,2026-09-19,9,HDFC Capital's affordable-housing real estate fund platform is a near-exact match for his fund/JV capital planning and portfolio-performance work.,Fund and JV capital planning; capital deployment and commitments,Direct-hit target; no live req captured. Candidate is US-based (Amherst Holdings); no India employer history — lead with platform-level analytics transferability and frame as NRI-return.,A11,In line (22-46),"Location corrected: HDFC Capital Advisors' registered office is Ramon House, H.T. Parekh Marg, Churchgate 400020 - not Nariman Point or Lower Parel. Visible hiring at the time of checking was internships, not senior roles, so this stays a target rather than a confirmed opening.",2026-09-20
