Listing_ID,Role_Title,Company,Company_Type,Location_Micro_Market,Seniority,Experience_Required,Function,Key_Skills,Comp_Range_INR_LPA,Comp_Basis,Portal,Source_URL,Listing_Status,Posting_Date,Date_Found,Fit_Score,Fit_Rationale,Profile_Hook,Application_Notes,Agent_Source
A09-011,Portfolio Manager - Alternatives,Tata Asset Management,Asset Manager,Fort,VP,10-13 yrs (inferred),Portfolio Management,Portfolio construction;alternatives investing;risk management;performance reporting;client communication,60-90,Market estimate,LinkedIn,https://in.linkedin.com/jobs/senior-portfolio-manager-jobs-mumbai,Target employer - not verified,Unknown,2026-09-19,8,Running an alternatives sleeve (AIF) is a direct extension of owning a real-asset portfolio's performance and risk at Amherst.,Portfolio performance ownership and revenue/yield optimisation at scale,No listed-market track record - position as real-asset/alternatives portfolio ownership rather than public-markets stock-picking.,A09
A09-012,Product Manager - Alternatives,Edelweiss Asset Management,Asset Manager,Mumbai (unspecified),Senior Manager,7-10 yrs (inferred),Strategy,AIF/PMS product design;fund structuring;investor reporting;performance analytics;stakeholder management,35-50,Market estimate,Naukri,https://www.naukri.com/asset-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Alternatives product-management role sits closer to his fund/JV capital-planning background than a plain-vanilla MF seat.,"Fund and JV capital planning, capital calls and distribution mechanics",No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-013,Investment Strategy Manager,PPFAS Mutual Fund,Asset Manager,Nariman Point,Senior Manager,7-10 yrs (inferred),Strategy,Investment strategy;fund performance analysis;investor communication;portfolio analytics;stakeholder management,35-50,Market estimate,Company Careers Page,https://amc.ppfas.com/about-us/we-are-hiring/,Search-surfaced,Unknown,2026-09-19,7,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,PPFAS's own careers page confirms active hiring but the specific open role/level was not visible - confirm current openings before applying.,A09
A09-014,Product Manager - AIF/PMS,WhiteOak Capital Asset Management,Asset Manager,BKC,Manager,5-8 yrs (inferred),Data & Analytics,AIF/PMS product design;performance reporting;distributor enablement;market research;regulatory awareness,25-35,Market estimate,Naukri,https://www.naukri.com/asset-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Alternatives product seat at a fast-growing AMC - reasonably close to his fund/capital-planning background.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-015,Product Manager - Investment Products,360 ONE Asset & Wealth,Asset Manager,Lower Parel,AVP,8-11 yrs (inferred),Strategy,Product strategy;AIF/PMS/wealth product design;performance analytics;distribution coordination;stakeholder management,45-65,Market estimate,Company Careers Page,https://www.360.one/asset/careers/,Search-surfaced,Unknown,2026-09-19,7,360 ONE runs a large alpha-focused alternatives book alongside wealth distribution - the asset-management arm is a strong adjacency to his real-asset portfolio background.,Portfolio performance management and fund/JV capital planning,Careers page confirms active hiring generally; specific open role/level not shown in search results - verify before applying.,A09
A09-016,Portfolio Manager - PMS,Motilal Oswal Asset Management Company,Asset Manager,Lower Parel,VP,10-13 yrs (inferred),Portfolio Management,Portfolio construction;equity research;risk management;client reporting;performance attribution,60-90,Market estimate,LinkedIn,https://in.linkedin.com/jobs/portfolio-manager-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,8,Discretionary PMS portfolio ownership mirrors his current ownership of a large residential portfolio's pricing and performance.,Portfolio performance management and revenue/yield optimisation at scale,No listed-equity research background - position as asset-level performance ownership transferable across asset classes.,A09
A09-017,Portfolio Manager - PMS,ASK Investment Managers,Asset Manager,Andheri East,VP,10-13 yrs (inferred),Portfolio Management,Portfolio construction;equity research;risk management;client portfolio reviews;performance reporting,60-90,Market estimate,LinkedIn,https://in.linkedin.com/jobs/portfolio-manager-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,8,ASK's PMS platform is built around long-only portfolio ownership and client performance reporting - close in shape to his current role.,Portfolio performance ownership and forecasting discipline,"No public-markets investing background - lead with quantitative portfolio-management transferability, not stock-picking credentials.",A09
A09-018,Portfolio Manager - Equity PMS,Marcellus Investment Managers,Asset Manager,Andheri East,VP,10-13 yrs (inferred),Portfolio Management,Portfolio construction;equity research;risk management;investor communication;performance attribution,60-90,Market estimate,LinkedIn,https://finalyca.com/asset-management-company-amc/Marcellus-Investment-Managers.-AIF/,Target employer - not verified,Unknown,2026-09-19,8,Marcellus runs concentrated PMS portfolios requiring the same portfolio-ownership and performance-communication skills he uses at Amherst.,Portfolio performance management and revenue/yield optimisation at scale,No listed-equity research background - would need to reposition around asset-level investment analysis rather than stock-picking.,A09
A09-019,Fund Manager - Alternatives,Abakkus Asset Manager,Asset Manager,Mumbai (unspecified),VP,10-13 yrs (inferred),Portfolio Management,Fund strategy;alternatives investing;portfolio construction;risk-adjusted returns;investor reporting,60-90,Market estimate,LinkedIn,https://pmsbazaar.com/AMC/Abakkus-Asset-Manager-Private-Limited,Target employer - not verified,Unknown,2026-09-19,8,Alpha-focused alternatives fund management role directly parallels his ownership of portfolio performance and yield at Amherst.,Portfolio performance ownership and yield/pricing optimisation,"No public-equity investing track record - position as real-asset portfolio-management transferability, not a research-analyst pitch.",A09
A09-020,Portfolio Manager - PMS,Alchemy Capital Management,Asset Manager,Mumbai (unspecified),VP,10-13 yrs (inferred),Portfolio Management,Portfolio construction;equity research;client portfolio reviews;risk management;performance reporting,60-90,Market estimate,Company Careers Page,https://www.alchemycapital.com/career.aspx,Target employer - not verified,Unknown,2026-09-19,8,Discretionary PMS ownership at a long-established Mumbai PMS house is a strong adjacency to his current portfolio-performance ownership.,Portfolio performance management and revenue/yield optimisation at scale,No listed-equity background - would need to reframe around asset-level investment analysis and forecasting rigor.,A09
A09-021,Investment Strategy Manager,Carnelian Asset Management and Advisors,Asset Manager,Lower Parel,Senior Manager,7-10 yrs (inferred),Strategy,Investment strategy;portfolio construction;capital markets research;performance analytics;investor communication,35-50,Market estimate,LinkedIn,https://finalyca.com/asset-management-company-amc/Carnelian-Asset-Management-And-Advisors-Pvt-Ltd-PMS/,Target employer - not verified,Unknown,2026-09-19,8,"A boutique PMS/AIF house where investment-strategy work sits close to portfolio-level performance ownership, similar to his current scope.",Portfolio performance management and forecasting discipline,No listed-markets background - lead with cross-asset strategy and modelling rigor rather than equity-research credentials.,A09
A09-022,Fund Manager - Alternatives,Buoyant Capital,Asset Manager,Mumbai (unspecified),VP,10-13 yrs (inferred),Portfolio Management,Fund strategy;alternatives investing;portfolio construction;risk management;investor reporting,60-90,Market estimate,LinkedIn,https://in.linkedin.com/jobs/portfolio-manager-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,8,Alternatives fund-manager mandate parallels his real-asset portfolio and fund-level performance ownership.,Fund and JV capital planning plus portfolio performance ownership,No public-markets track record - position around real-asset investment analysis and capital-planning transferability.,A09
A09-023,Portfolio Manager - PMS,Helios Capital Management,Asset Manager,Mumbai (unspecified),VP,10-13 yrs (inferred),Portfolio Management,Portfolio construction;equity research;risk management;client reporting;performance attribution,60-90,Market estimate,LinkedIn,https://in.linkedin.com/jobs/portfolio-manager-jobs-mumbai-metropolitan-region,Target employer - not verified,Unknown,2026-09-19,8,PMS portfolio ownership at a boutique alternatives house is structurally close to his current portfolio-performance mandate.,Portfolio performance management and revenue/yield optimisation at scale,No listed-equity background - reposition around asset-level investment analysis rather than stock-picking.,A09
A09-024,Investment Strategy Manager,Ambit Asset Management,Asset Manager,BKC,AVP,8-11 yrs (inferred),Strategy,Investment strategy;portfolio construction;market research;performance analytics;stakeholder management,45-65,Market estimate,Naukri,https://www.naukri.com/asset-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Strategy-focused seat at a boutique asset manager - adjacent to his forecasting and portfolio-strategy toolkit.,Revenue and portfolio-performance forecasting discipline,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-025,Head of Products - Wealth,Nuvama Wealth Management,Asset Manager,Worli,Director,12-16 yrs (inferred),Strategy,Product strategy;AIF/PMS/MF shelf management;distribution enablement;P&L ownership;team leadership,90-140,Market estimate,Naukri,https://www.naukri.com/nuvama-wealth-and-investment-jobs-careers-in-mumbai-gid-9164549,Search-surfaced,Unknown,2026-09-19,6,Senior wealth-product leadership role; transferable strategy and P&L skills but the mandate is distribution-led rather than portfolio-management-led.,Fund/product strategy and cross-functional leadership at scale,"Naukri lists an active Nuvama Mumbai jobs page but no specific opening was confirmed; this is a senior, distribution-facing seat above his direct investment-management lane - flag the stretch.",A09
A09-026,Investment Solutions Manager,Julius Baer India,Bank,BKC,AVP,8-11 yrs (inferred),Strategy,Portfolio construction;asset allocation;client solutioning;investment research;UHNI advisory,45-65,Market estimate,Company Careers Page,https://www.juliusbaer.com/in/en/,Target employer - not verified,Unknown,2026-09-19,7,Investment-solutions/structuring work for UHNI clients draws on the same portfolio-construction and modelling skills he applies at Amherst.,Fund waterfall and distribution modelling translated into structured-solutions thinking,No private-banking experience - position as an investment-strategy/product hire rather than a client-facing banker; confirm if role is client-facing.,A09
A09-027,Investment Solutions Manager,UBS Wealth Management India,Bank,BKC,AVP,8-11 yrs (inferred),Strategy,Portfolio construction;asset allocation;investment research;client solutioning;risk profiling,45-65,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,"Same investment-solutions logic as Julius Baer - transferable portfolio-construction skillset, non-client-facing product angle preferred.",Fund waterfall and distribution modelling translated into structured-solutions thinking,No private-banking experience - position as product/strategy rather than relationship management.,A09
A09-028,Senior Relationship Manager - UHNI,Standard Chartered Private Bank,Bank,Fort,VP,10-13 yrs (inferred),Strategy,Client relationship management;UHNI advisory;portfolio review;cross-sell;business development,50-75,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,4,"This is a client-acquisition and relationship-sales mandate wearing an investment title - a weak match despite the portfolio/AUM language, since the core job is sales, not strategy.","Portfolio-performance narrative supports investment conversations, but the core job is sales",Major career pivot into a sales-quota role - only worth pursuing if open to relationship management; do not oversell this as a strategy fit.,A09
A09-029,Senior Relationship Manager - UHNI,HSBC Private Bank India,Bank,Fort,VP,10-13 yrs (inferred),Strategy,Client relationship management;UHNI advisory;portfolio review;cross-sell;business development,50-75,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,4,"This is a client-acquisition and relationship-sales mandate wearing an investment title - a weak match despite the portfolio/AUM language, since the core job is sales, not strategy.","Portfolio-performance narrative supports investment conversations, but the core job is sales",Major career pivot into a sales-quota role - only worth pursuing if open to relationship management; do not oversell this as a strategy fit.,A09
A09-030,Senior Relationship Manager - UHNI,Kotak Mahindra Private Banking,Bank,BKC,AVP,8-11 yrs (inferred),Strategy,Client relationship management;UHNI advisory;portfolio review;cross-sell;business development,35-50,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,3,"This is a client-acquisition and relationship-sales mandate wearing an investment title - a weak match despite the portfolio/AUM language, since the core job is sales, not strategy.","Portfolio-performance narrative supports investment conversations, but the core job is sales",Major career pivot into a sales-quota role - only worth pursuing if open to relationship management; do not oversell this as a strategy fit.,A09
A09-031,Senior Relationship Manager - UHNI,ICICI Bank Private Banking,Bank,BKC,Manager,5-8 yrs (inferred),Strategy,Client relationship management;UHNI advisory;portfolio review;cross-sell;business development,25-35,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,3,"This is a client-acquisition and relationship-sales mandate wearing an investment title - a weak match despite the portfolio/AUM language, since the core job is sales, not strategy.","Portfolio-performance narrative supports investment conversations, but the core job is sales",Major career pivot into a sales-quota role - only worth pursuing if open to relationship management; do not oversell this as a strategy fit.,A09
A09-032,Relationship Manager - Client Origination,Waterfield Advisors,Family Office,Mumbai (unspecified),Manager,~5-9 yrs (inferred),Strategy,Client origination;family-office advisory;wealth planning;relationship management;networking,25-35,Market estimate,Company Careers Page,https://waterfieldadvisors.com/careers/relationship-manager---client-origination,Verified live posting,Unknown,2026-09-19,5,"A client-origination role at a multi-family office is client-facing rather than portfolio-strategy focused, though the underlying advisory context is investment-relevant.",Cross-asset capital-planning fluency supports credible family-office conversations,"Confirmed live opening on Waterfield's own careers page; role is origination/sales-oriented, not portfolio management - clarify scope before applying.",A09
A09-033,Investment Manager - Family Office,Client Associates,Family Office,Mumbai (unspecified),Senior Manager,7-10 yrs (inferred),Portfolio Management,Portfolio management;asset allocation;family office governance;investment due diligence;reporting,35-50,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Family office investment mandates require the same cross-asset capital allocation and reporting discipline he runs across Amherst's funds and JVs.,"Fund and JV capital planning, capital calls and distribution waterfall modelling",No listed-market allocation experience - lead with real-asset/private-markets fluency and capital-planning rigor.,A09
A09-034,Investment Manager - Family Office,Entrust Family Office,Family Office,Mumbai (unspecified),Senior Manager,7-10 yrs (inferred),Portfolio Management,Portfolio management;asset allocation;family office governance;investment due diligence;reporting,35-50,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Same family-office investment-management logic as Client Associates - a natural adjacency to his fund/JV capital-planning background.,"Fund and JV capital planning, capital calls and distribution waterfall modelling",No listed-market allocation experience - lead with real-asset/private-markets fluency and capital-planning rigor.,A09
A09-035,Investment Solutions Manager,LGT Wealth India,Bank,BKC,AVP,8-11 yrs (inferred),Strategy,Portfolio construction;asset allocation;investment research;client solutioning;risk profiling,45-65,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,7,Investment-solutions/product seat at a private wealth group - transferable portfolio-construction and modelling skillset.,Fund waterfall and distribution modelling translated into structured-solutions thinking,No private-wealth experience - position as product/strategy hire rather than a relationship banker.,A09
A09-036,Product Manager - Wealth,Anand Rathi Wealth,Asset Manager,Lower Parel,Manager,5-8 yrs (inferred),Strategy,Product strategy;AIF/PMS/MF shelf;performance reporting;distributor enablement;market research,25-35,Market estimate,Company Careers Page,https://anandrathi.com/career,Target employer - not verified,Unknown,2026-09-19,6,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-037,Head of Products - Wealth,Centrum Wealth,Asset Manager,Mumbai (unspecified),Director,12-16 yrs (inferred),Strategy,Product strategy;AIF/PMS/MF shelf management;distribution enablement;P&L ownership;team leadership,90-140,Market estimate,News / Hiring Signal,https://www.whalesbook.com/news/English/bankingfinance/Centrum-Wealth-Hires-Ex-Avendus-Wealth-CIO-Rungta-to-Boost-Indian-Market-Share/69fc5af4fba933f42cc4f308,Search-surfaced,Unknown,2026-09-19,6,News confirms Centrum Wealth is actively building out its product/investment leadership bench (hired an ex-Avendus CIO); a senior product seat is plausible but no specific opening was seen.,Fund/product strategy and cross-functional leadership at scale,"Hiring-news signal only, not a posted vacancy - this is a senior, distribution-facing seat above his direct lane; flag the stretch and verify current openings directly.",A09
A09-038,Investment Products Lead,Avendus Wealth Management,Asset Manager,BKC,AVP,8-11 yrs (inferred),Strategy,Product strategy;AIF/PMS/MF shelf;performance analytics;distribution coordination;stakeholder management,45-65,Market estimate,Naukri,https://www.naukri.com/investment-management-jobs-in-mumbai,Target employer - not verified,Unknown,2026-09-19,6,Product/investment-strategy role on a traditional mutual fund shelf; leverages his forecasting and analytics toolkit but sits a step away from real-asset portfolio strategy.,Revenue forecasting and scenario/pricing modelling discipline from Amherst,No mutual-fund industry background - lead with cross-asset analytics rigor and financial modelling; pre-empt lack of SEBI/MF product knowledge.,A09
A09-039,Investment Professional - Private Equity,Neo Asset Management,Asset Manager,Mumbai (unspecified),VP,8-10 yrs (posted),RE Investments,Private equity due diligence;deal structuring;financial modelling;portfolio monitoring;exit strategy,60-90,Market estimate,Native,https://getmereferred.com/in/job-listing/private-equity-neo-wealth-and-asset-management-inmhmumbai-8-to-10-years-experience-85ed0ed2-840a-4ce4-bd55-092655910271,Verified live posting,Unknown,2026-09-19,8,"Private-equity investment role within an alternatives platform draws directly on his asset-level investment analysis, capital deployment and JV experience.",Fund and JV capital planning plus retail disposition (asset-level exit) analytics,No listed-market or traditional buyout PE experience - lead with real-asset investment analysis and capital-planning transferability; specific listing confirms 8-10 yrs experience band.,A09
A09-040,Quantitative Trader,Neo Wealth and Asset Management,Asset Manager,Mumbai (unspecified),Manager,~5-8 yrs (inferred),Data & Analytics,Quantitative strategies;trading systems;risk management;statistical modelling;market microstructure,30-45,Market estimate,Native,https://in.talent.com/view?id=619634775713783492,Verified live posting,Unknown,2026-09-19,5,"Confirmed open role at an alternatives platform, but quant trading is a different skill core (systematic trading, not portfolio/revenue strategy) from his background.",Data-driven pricing and forecasting discipline from revenue management,Likely a weak skills match given no quant/trading background - a long-shot unless paired with a non-quant strategy opening at the same firm.,A09
A09-041,Senior Relationship Manager - UHNI,Dezerv,Asset Manager,Mumbai (unspecified),Manager,5-8 yrs (inferred),Strategy,Client relationship management;UHNI advisory;portfolio review;cross-sell;business development,25-35,Market estimate,News / Hiring Signal,https://tracxn.com/d/companies/dezerv/__IStQHt0brZXZhgH3PnQe43O6j0boDQEM1r-GHC5SYc4,Search-surfaced,Unknown,2026-09-19,4,"This is a client-acquisition and relationship-sales mandate wearing an investment title - a weak match despite the portfolio/AUM language, since the core job is sales, not strategy. Dezerv is reported to be scaling its RM headcount toward ~200 hires, which is a directional hiring signal rather than a specific posting.","Portfolio-performance narrative supports investment conversations, but the core job is sales",Major career pivot into a sales-quota role - only worth pursuing if open to relationship management; do not oversell this as a strategy fit.,A09
A09-042,"Portfolio Senior Analyst, AVP",Deutsche Bank,Global Capability Centre,BKC,AVP,3 yrs (posted; junior for AVP title),Data & Analytics,Performance attribution;benchmark tracking;portfolio metrics;reporting;data analysis,25-35,Market estimate,Company Careers Page,https://mygwork.com/jobs/deutsche-bank-portfolio-senior-analyst-avp-6512807,Verified live posting,Unknown,2026-09-19,5,"Performance-attribution/portfolio-metrics work is a direct extension of the analytics he runs at Amherst, but the posted experience requirement (~3 yrs) suggests a more junior GCC support seat than his actual level.",Revenue and portfolio performance analytics/reporting discipline,GCC support-function role; AVP is often a junior title in India banking GCCs - confirm actual seniority and scope before applying given likely overqualification.,A09
A09-043,"Portfolio Analytics (Quants) - Senior Associate, Fund Services",Morgan Stanley,Global Capability Centre,Goregaon,Manager,~6-9 yrs (inferred),Data & Analytics,Multi-factor risk models;performance attribution;hedge fund analytics;Python/R;fund services reporting,30-45,Market estimate,Company Careers Page,https://www.themuse.com/jobs/morganstanley/portfolio-analytics-quants-senior-associate-fund-services-30b528,Verified live posting,Unknown,2026-09-19,6,"Hedge-fund performance and risk-attribution analytics role is a solid adjacency to his portfolio-performance work, though it is a quant/fund-services support seat rather than strategy leadership.",Revenue and portfolio performance analytics/reporting discipline,"GCC fund-services role - would be a lateral analytics move, not a strategy-ownership step up; his lack of quant/Python depth may be a gap to pre-empt.",A09
A09-044,Product Head - AIF/PMS,"Manzil HR Services (client: AMC, confidential)",Recruiter / Search Firm,Mumbai (unspecified),Director,8-30 yrs (posted),Strategy,AIF/PMS product strategy;dashboards & factsheets;portfolio performance reporting;distributor analytics;team leadership,90-140,Market estimate,iimjobs,https://www.iimjobs.com/j/product-head-aif-pms-amc-1396970,Verified live posting,Unknown,2026-09-19,8,Confirmed live posting for an AIF/PMS product-head mandate covering portfolio performance reporting and dashboards - closely aligned with his revenue/portfolio analytics background.,Portfolio performance management and revenue/yield optimisation at scale,Recruiter-fronted listing (Manzil HR Services); end-client AMC not disclosed in the posting - confirm client identity before applying.,A09
A09-045,Product & Communication Manager - MF/PMS/AIF,"Synergy HR Consultancy (client: AMC, confidential)",Recruiter / Search Firm,Mumbai (unspecified),Senior Manager,5-11 yrs (posted),Strategy,Product lifecycle management;PMS/AIF product design;cross-functional coordination;investor communication;marketing collateral,35-50,Market estimate,iimjobs,https://www.iimjobs.com/j/product-and-communication-role-asset-management-mf-pms-aif-1657450,Verified live posting,Unknown,2026-09-19,7,Confirmed live posting for a product strategy/lifecycle role across MF/PMS/AIF that overlaps with his investment-products and portfolio-strategy background.,Fund and JV capital planning plus portfolio performance ownership,Recruiter-fronted listing (Synergy HR Consultancy); end-client AMC not disclosed - confirm client identity before applying.,A09
